AllFuelsGen,CoalGen,PetroleumGen,NatGasGen,OtherGasGen,NuclearGen,HydroGen,RenewablesGen,HydroStorageGen,OtherGen,GeothermalGen,IndepGen,GDP,AvgTemp,AvgMaxTemp,AvgRelHum,Price,HydroCons,GeoCons,SolarCons,WindCons,WoodCons,WasteCons,BiofuelsCons,BiomassCons,RenCons,NatGasPrice,ResNatGasPrice,CommNatGasPrice,IndNatGasPrice,ElecPowerNatGasPrice,ElecPowerElecNetGen,CommElecNetGen,IndElecNetGen,TotElecNetGen,ElecImports,ElecExports,ElecNetImports,TDLosses,RetailElecSales,DirectElecUse,EndElecUse,ResPrice,CommPrice,IndPrice,AvgRetailPrice,ResNatGasCons,CommNatGasCons,IndLPNatGasCons,OtherIndNatGasCons,OtherNonCHPIndNatGasCons,TotIndOtherNatGasCons,TotIndNatGasCons,PDTransNatGasCons,FuelTransNatGasCons,TotTransNatGasCons,ElecPowerNatGasCons,TotNatGasCons,ElecCoalCons,ElecNatGasCons,TotRetailElecSales,TotCoalCons,CA_GDP,CoalCap,LargeHydroCap,NatGasCap,NuclearCap,OilCap,BiomassCap,GeothermalCap,SmallHydroCap,SolarPVCap,SolarThermalCap,WindCap,TotalElecCap
16987.40,201.93,12.05,9012.44,87.39,3150.39,2400.17,1954.53,-38.40,33.46,1085.05,981.34,1659.25,75.87,90.83,38.15,12.24,173.82,14.11,5.62,7.49,171.21,33.39,25.37,229.97,431.01,3.99,10.23,6.54,3.89,3.71,317.98,0.68,12.63,331.28,2.76,1.15,1.61,8.57,310.50,13.82,324.32,8.59,8.00,4.98,7.36,123.90,141.46,89.32,100.90,472.41,573.31,662.63,44.26,1.23,45.49,568.70,1542.17,88.70,79281.02,21095.01,152.47,1659.25,429.00,11713.00,34043.67,4456.00,542.00,1101.67,2623.00,1741.33,2.00,378.00,1562.00,58818.67
14336.93,217.02,9.43,7070.81,100.20,2948.83,1864.41,1942.43,-7.85,36.28,1119.45,1012.52,1662.73,61.68,74.97,61.77,12.68,174.68,14.58,4.95,7.47,180.32,33.60,29.76,243.67,445.36,4.32,8.61,6.64,4.18,4.19,294.10,0.60,12.36,307.06,2.48,1.16,1.32,10.74,284.18,13.47,297.64,8.47,8.00,4.91,7.20,250.57,199.29,91.67,97.43,516.02,613.45,705.12,47.27,1.27,48.54,442.36,1645.87,101.96,61193.61,20947.43,163.32,1662.73,429.00,11713.00,34213.00,4456.00,542.00,1097.00,2623.00,1741.00,2.00,378.00,1564.25,58985.25
12642.57,158.41,22.00,6585.90,61.95,2163.18,1771.02,1758.81,-51.95,25.57,1077.29,988.41,1666.20,64.02,73.77,37.74,12.09,200.71,14.05,4.09,6.67,166.49,33.84,32.21,232.53,458.06,4.65,7.99,6.89,4.72,4.35,283.37,0.55,12.36,296.29,2.54,1.60,0.93,20.77,263.03,13.42,276.45,8.31,7.64,4.71,6.94,483.19,298.09,91.84,97.39,534.88,632.27,724.11,55.39,1.23,56.62,351.61,1913.63,71.43,55732.45,16962.60,132.01,1666.20,429.00,11713.00,34382.33,4456.00,542.00,1092.33,2623.00,1740.67,2.00,378.00,1566.50,59151.83
14535.21,207.54,12.43,7306.99,90.89,2872.50,2109.08,1777.01,-35.36,37.01,1113.68,1007.75,1669.67,53.09,62.00,56.14,11.94,220.43,14.59,3.65,7.68,174.13,35.27,32.34,241.74,488.10,4.74,7.87,7.16,4.92,4.72,311.52,0.62,12.70,324.83,2.27,1.74,0.53,25.07,286.46,13.83,300.30,8.08,7.59,4.72,6.96,771.63,419.36,95.26,98.30,563.48,661.78,757.04,69.47,1.27,70.74,360.12,2378.90,95.31,61552.52,19022.24,160.63,1669.67,429.00,11713.00,34551.67,4456.00,542.00,1087.67,2623.00,1740.33,2.00,378.00,1568.75,59318.42
14215.33,210.75,7.12,6915.24,105.75,2610.66,2600.21,1788.37,-206.31,25.09,1138.31,1040.92,1675.96,63.38,73.10,39.07,11.52,208.58,15.06,3.00,6.40,169.56,34.43,30.72,234.72,467.76,5.28,8.18,7.48,5.65,5.33,327.45,0.62,13.93,341.99,3.06,1.74,1.33,23.95,304.26,15.11,319.37,8.00,7.45,4.92,7.00,945.98,514.95,94.99,106.35,581.47,687.82,782.81,72.82,1.55,74.37,382.44,2700.55,90.25,57058.43,19979.42,152.31,1675.96,429.00,11713.00,34721.00,4456.00,542.00,1083.00,2623.00,1740.00,2.00,378.00,1571.00,59485.00
13116.46,194.89,6.13,6628.00,101.05,1754.26,2673.41,1703.78,-106.42,22.57,1020.01,932.08,1682.24,53.72,63.11,55.90,11.65,200.27,13.55,3.27,7.55,153.72,30.51,31.89,216.12,440.76,5.83,8.58,7.98,6.40,6.47,286.70,0.55,12.00,299.25,2.73,1.79,0.93,4.91,282.24,13.04,295.28,8.02,7.65,4.99,7.05,884.24,482.49,86.36,90.99,552.67,643.67,730.03,67.46,1.40,68.86,334.70,2500.32,84.43,55110.85,17313.00,142.59,1682.24,429.00,11733.75,34745.00,4456.00,542.00,1082.33,2623.00,1739.92,2.00,378.00,1612.08,59570.08
14464.51,181.78,27.69,6956.60,162.22,2508.41,2579.21,1983.01,-116.78,23.08,1088.48,1009.00,1688.52,58.33,70.45,52.73,10.62,245.05,14.61,4.77,10.49,166.34,34.30,30.56,231.20,506.11,7.63,9.77,9.20,8.27,7.05,291.09,0.59,12.64,304.32,2.76,2.38,0.37,16.48,274.47,13.74,288.22,8.35,7.78,5.02,7.16,674.58,388.19,97.72,93.58,522.38,615.96,713.68,58.69,1.55,60.24,361.24,2197.94,75.91,55695.84,18402.46,138.45,1688.52,429.00,11754.50,34769.00,4456.00,542.00,1081.67,2623.00,1739.83,2.00,378.00,1653.17,59655.17
13673.53,123.76,24.44,5627.68,142.98,2805.37,2802.48,1994.03,5.50,26.82,1037.87,948.91,1694.80,54.81,66.97,63.07,11.73,250.69,14.06,5.31,11.06,162.81,33.33,32.59,228.74,509.85,5.60,10.18,8.97,5.96,5.38,273.02,0.58,12.16,285.76,2.56,1.72,0.84,16.65,256.71,13.23,269.94,8.82,7.93,4.99,7.27,414.50,261.07,93.57,90.63,484.00,574.62,668.19,46.11,1.50,47.61,352.16,1743.53,49.37,45891.51,17997.58,98.58,1694.80,429.00,11775.25,34793.00,4456.00,542.00,1081.00,2623.00,1739.75,2.00,378.00,1694.25,59740.25
15699.59,168.22,22.32,5446.76,151.03,3310.33,4508.15,1970.77,-59.20,17.60,1050.34,956.18,1701.08,64.10,78.97,60.12,12.15,297.63,14.16,5.87,10.19,163.89,33.24,32.69,229.83,557.68,5.69,10.79,8.71,5.78,5.70,294.24,0.60,12.71,307.55,2.78,2.38,0.40,25.34,268.79,13.82,282.61,8.99,8.06,5.06,7.42,247.69,179.07,95.54,93.99,463.18,557.17,652.71,39.66,1.55,41.21,394.02,1514.70,65.59,44811.40,18261.64,133.79,1701.08,429.00,11796.00,34817.00,4456.00,542.00,1080.33,2623.00,1739.67,2.00,378.00,1735.33,59825.33
16354.81,197.73,57.82,6278.05,149.76,3071.41,4225.80,2239.39,-69.15,23.44,1104.11,1012.72,1707.36,65.28,79.40,70.61,13.00,289.44,14.63,6.15,10.60,162.64,32.92,31.84,227.40,548.22,6.40,12.08,9.00,6.59,6.08,315.31,0.62,12.76,328.69,2.87,2.48,0.39,24.73,290.45,13.91,304.36,9.25,8.44,5.28,7.78,157.45,134.30,92.52,94.01,417.33,511.34,603.86,35.65,1.50,37.15,435.60,1368.37,81.42,52365.93,20122.94,145.57,1707.36,429.00,11816.75,34841.00,4456.00,542.00,1079.67,2623.00,1739.58,2.00,378.00,1776.42,59910.42
